CLK_REF_COUNTER,CPU0_CLOCK_COUNTER,CPU0_CACHE_REFILL,CPU0_CACHE_ACCESS,CPU0_READ_STALL,CPU0_WRITE_STALL,CPU0_INSTR_RENAME,CPU0_BRANCH_MISS,CPU1_CLOCK_COUNTER,CPU1_CACHE_REFILL,CPU1_CACHE_ACCESS,CPU1_READ_STALL,CPU1_WRITE_STALL,CPU1_INSTR_RENAME,CPU1_BRANCH_MISS,
1717483436390364000, 290195, 0, 259737, 0, 0, 1559834, 322, 19, 0, 0, 0, 0, 0, 0, 
1717483436405373000, 451608, 0, 404081, 0, 0, 2425684, 501, 63, 0, 0, 0, 0, 0, 0, 
1717483436421375000, 618651, 0, 583192, 0, 0, 3417948, 1368, 107, 0, 0, 0, 0, 0, 0, 
1717483436437373000, 785434, 0, 732333, 0, 0, 4312639, 1553, 151, 0, 0, 0, 0, 0, 0, 
1717483436453373000, 951701, 0, 881016, 0, 0, 5204518, 1737, 195, 0, 0, 0, 0, 0, 0, 
1717483436469946000, 1119301, 0, 1030887, 0, 0, 6103594, 1922, 239, 0, 0, 0, 0, 0, 0, 
1717483436485968000, 1289255, 0, 1182867, 0, 0, 7015280, 2110, 283, 0, 0, 0, 0, 0, 0, 
1717483436501956000, 1452877, 0, 1329183, 0, 0, 7892995, 2291, 327, 0, 0, 0, 0, 0, 0, 
1717483436517971000, 1620294, 0, 1508575, 0, 0, 8887019, 3176, 371, 0, 0, 0, 0, 0, 0, 
1717483436533959000, 1791076, 0, 1661290, 0, 0, 9803150, 3365, 415, 0, 0, 0, 0, 0, 0, 
1717483436548843000, 1944809, 0, 1798763, 0, 0, 10627824, 3535, 459, 0, 0, 0, 0, 0, 0, 
1717483436563994000, 2101444, 0, 1938835, 0, 0, 11468053, 3708, 503, 0, 0, 0, 0, 0, 0, 
1717483436579136000, 2261746, 0, 2082182, 0, 0, 12327952, 3886, 547, 0, 0, 0, 0, 0, 0, 
1717483436594592000, 2419297, 0, 2252761, 0, 0, 13269077, 4753, 591, 0, 0, 0, 0, 0, 0, 
1717483436608777000, 2574855, 0, 2391867, 0, 0, 14103535, 4925, 635, 0, 0, 0, 0, 0, 0, 
1717483436625841000, 2745766, 0, 2544701, 0, 0, 15020356, 5114, 679, 0, 0, 0, 0, 0, 0, 
1717483436642239000, 2913434, 0, 2694638, 0, 0, 15919763, 5299, 723, 0, 0, 0, 0, 0, 0, 
1717483436655574000, 3060839, 0, 2826452, 0, 0, 16710484, 5462, 767, 0, 0, 0, 0, 0, 0, 
1717483436672355000, 3229226, 0, 2977029, 0, 0, 17613754, 5649, 811, 0, 0, 0, 0, 0, 0, 
1717483436687354000, 3390190, 0, 3150680, 0, 0, 18573373, 6505, 855, 0, 0, 0, 0, 0, 0, 
1717483436703266000, 3550288, 0, 3293845, 0, 0, 19432186, 6682, 899, 0, 0, 0, 0, 0, 0, 
1717483436767011000, 4214023, 0, 3887379, 0, 0, 22992679, 7416, 963, 0, 0, 0, 0, 0, 0, 
1717483436829954000, 4872344, 0, 4505732, 0, 0, 26620023, 8825, 1027, 0, 0, 0, 0, 0, 0, 
1717483436891416000, 5511753, 0, 5107190, 0, 0, 30145926, 10210, 1091, 0, 0, 0, 0, 0, 0, 
1717483436952392000, 6153655, 0, 5710926, 0, 0, 33685443, 11589, 1155, 0, 0, 0, 0, 0, 0, 
1717483437016341000, 6813189, 0, 6300707, 0, 0, 37223370, 12318, 1219, 0, 0, 0, 0, 0, 0, 
1717483437079965000, 7473326, 0, 6920704, 0, 0, 40860457, 13725, 1283, 0, 0, 0, 0, 0, 0, 
1717483437143718000, 8137379, 0, 7544150, 0, 0, 44518530, 15139, 1347, 0, 0, 0, 0, 0, 0, 
1717483437204510000, 8777463, 0, 8116536, 0, 0, 47952138, 15847, 1411, 0, 0, 0, 0, 0, 0, 
1717483437267695000, 9428789, 0, 8728715, 0, 0, 51542214, 17246, 1475, 0, 0, 0, 0, 0, 0, 
1717483437330768000, 10085850, 0, 9345948, 0, 0, 55162807, 18647, 1539, 0, 0, 0, 0, 0, 0, 
1717483437390892000, 10716830, 0, 9910192, 0, 0, 58547573, 19345, 1603, 0, 0, 0, 0, 0, 0, 
1717483437453015000, 11361343, 0, 10516199, 0, 0, 62100820, 20737, 1667, 0, 0, 0, 0, 0, 0, 
1717483437515282000, 12013143, 0, 11128830, 0, 0, 65693496, 22127, 1731, 0, 0, 0, 0, 0, 0, 
1717483437578452000, 12665951, 0, 11742238, 0, 0, 69291248, 23533, 1795, 0, 0, 0, 0, 0, 0, 
1717483437639549000, 13308638, 0, 12316952, 0, 0, 72738821, 24244, 1859, 0, 0, 0, 0, 0, 0, 
1717483437702103000, 13959672, 0, 12928803, 0, 0, 76327071, 25650, 1923, 0, 0, 0, 0, 0, 0, 
1717483437763357000, 14598868, 0, 13530132, 0, 0, 79852108, 27051, 1987, 0, 0, 0, 0, 0, 0, 
1717483437824759000, 15236839, 0, 14100625, 0, 0, 83274384, 27757, 2051, 0, 0, 0, 0, 0, 0, 
1717483437887388000, 15883552, 0, 14708626, 0, 0, 86839482, 29166, 2115, 0, 0, 0, 0, 0, 0, 
1717483437949636000, 16532226, 0, 15318339, 0, 0, 90415059, 30561, 2179, 0, 0, 0, 0, 0, 0, 
1717483438010724000, 17175826, 0, 15893869, 0, 0, 93867527, 31272, 2243, 0, 0, 0, 0, 0, 0, 
1717483438072780000, 17819203, 0, 16498953, 0, 0, 97415019, 32683, 2307, 0, 0, 0, 0, 0, 0, 
1717483438135797000, 18471869, 0, 17112280, 0, 0, 101012064, 34098, 2371, 0, 0, 0, 0, 0, 0, 
1717483438197725000, 19124303, 0, 17725359, 0, 0, 104607808, 35508, 2435, 0, 0, 0, 0, 0, 0, 
